CITY_NAME,X,Y,MODERN_NATION
Aleppo,37.166667,36.216667,Syria
Alexandria,29.916667,31.200000,Egypt
Arud,50.878611,36.499444,Iran
Babylon,44.420833,32.536389,Iraq
Baghdad,44.433333,33.333333,Iraq
Belgrade,20.466667,44.816667,Serbia
Berkeley,-2.459000,51.691000,England
Boghar,2.716667,35.911389,Iran
Bologna,11.351389,44.507500,Italy
Bombay,72.825833,18.975000,India
Bristol,-2.583333,51.450000,Wales
Bruges,3.233333,51.216667,Belgium
Canton,-3.210000,51.480000,Wales
Carthagena,-0.983333,37.600000,Spain
Casbin,50.000000,36.266667,Iran
Chatham,0.536200,51.361,England
Constantinople,28.976018,41.012240,Turkey
Dabia,-11.137500,12.671389,Mali
Damascus,36.292000,33.513000,Syria
Delos,25.271111,37.393333,Greece
Gaza,34.450000,31.516667,Palestine
Helicon,22.822500,38.352778,Greece
Hirah,44.450000,31.883333,Iraq
Ispahan,51.650000,32.633333,Iran
Jerusalem,35.216667,31.783333,Israel
Lincoln,-0.537600,53.232700,England
Lisboa,-9.139444,38.713889,Portugal
London, -0.127500,51.507222,England
Lubar,27.761111,49.922778,Ukraine
Macao,113.550000,22.166667,China
Madrid,-3.683333,40.400000,Spain
Mecca,39.816667,21.416667,Saudi Arabia
Medina,39.600000,24.466667,Saudi Arabia
Monaco,7.416667,43.733333,Monaco
Mosque Tauris,34.8975,36.915556,Turkey
Mosul,43.130000,36.340000,Iraq
Mount Ararat,44.298317,39.701883,Turkey
Mylasa,27.783333,37.316667,Turkey
Naples,14.258333,40.845000,Italy
Nazareth,35.303333,32.701944,Israel
Otaheite,-149.416667,-17.666667,Tahiti
Panten,10.618889,53.663889,Germany
Paris,2.3508,48.8567,Paris
Persepolis,52.891389,29.934444,Iran
Rabat,-6.84165,34.020882,Morocco
Ragusa,18.108333,42.640278,Croatia
Rome,12.500000,41.900000,Italy
Sana,44.206389,15.348333,Yemen
Seleucia,44.522222,33.094444,Iraq
Tinos,25.133333,37.600000,Greece
Venice,12.335833,45.437500,Italy
Vienna,16.366667,48.200000,Austria

