"SUID","AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","Column 2","Column 6","Degree","Eccentricity","IsSingleNode","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","shared name","Stress","TopologicalCoefficient"
"67814","1.768","0.17095686","0.56561086","0.15579357","place","place","141","4","false","Arabia","19.37974684","141","0","33","0.872","false","0","Arabia","47664","0.08425977"
"67815","2.04","0.03125547","0.49019608","0.31054131","place","place","72","4","false","desert","24.25925926","72","0","13","0.82666667","false","14","desert","11094","0.11371935"
"67816","1.912","0.06459842","0.52301255","0.30693816","place","place","89","4","false","the_East","25.03846154","89","0","17","0.848","false","0","the_East","23604","0.11329621"
"67817","1.956","0.06423269","0.51124744","0.2","metaplace","metaplace","147","5","false","Heaven","20.70588235","147","0","23","0.84066667","false","12","Heaven","22780","0.09532845"
"67818","2.116","0.02216871","0.47258979","0.33103448","place","place","50","5","false","Yemen","24.16666667","50","0","10","0.814","false","0","Yemen","8258","0.12144054"
"67819","2.264","0.00118183","0.44169611","0.8","place","place","20","5","false","Lebanon","30.73333333","20","0","3","0.78933333","false","0","Lebanon","586","0.17363465"
"67820","2.324","0.0","0.4302926","1.0","place","place","14","5","false","Rome","31.07692308","14","0","1","0.77933333","false","0","Rome","0","0.18949343"
"67821","1.992","0.03296918","0.50200803","0.33333333","place","place","280","5","false","Babylon","25.12820513","280","0","27","0.83466667","false","16","Babylon","11222","0.11370229"
"67822","2.324","0.0","0.4302926","1.0","place","place","14","5","false","Persepolis","31.07692308","14","0","1","0.77933333","false","0","Persepolis","0","0.18949343"
"67823","2.176","0.03960392","0.45955882","0.54480797","place","place","45","5","false","Greece","27.60526316","45","0","5","0.804","false","0","Greece","12608","0.15684809"
"67824","2.324","0.0","0.4302926","1.0","place","place","14","5","false","Mosque Tauris","31.07692308","14","0","1","0.77933333","false","0","Mosque Tauris","0","0.18949343"
"67825","1.832","0.13136873","0.54585153","0.16922263","place","place","89","4","false","Persia","20.20967742","89","0","17","0.86133333","false","0","Persia","44820","0.08748778"
"67826","2.324","0.0","0.4302926","1.0","place","place","14","5","false","Boghar","31.07692308","14","0","1","0.77933333","false","0","Boghar","0","0.18949343"
"67827","2.324","0.0","0.4302926","1.0","place","place","14","5","false","Bactria","31.07692308","14","0","1","0.77933333","false","0","Bactria","0","0.18949343"
"67828","2.324","0.0","0.4302926","1.0","place","place","14","5","false","Pegu","31.07692308","14","0","1","0.77933333","false","0","Pegu","0","0.18949343"
