<?xml version="1.0" encoding="UTF-8"?>garden_near_Lichfield	place	no-ana	note	P1_C1_lg3	garden_near_Lichfield	place	no-ana
the_North	place	no-ana	main	P1_C1_lg4	the_North	place	no-ana
Earth_planet	place	no-ana	main	P1_C1_lg9	Earth_planet	place	no-ana
Earth_planet	place	no-ana	main	P1_C1_lg9	Chaos	metaplace	no-ana
Earth_planet	place	no-ana	main	P1_C1_lg9	Universe	metaplace	no-ana
Earth_planet	place	no-ana	main	P1_C1_lg9	Chaos	metaplace	no-ana
Earth_planet	place	no-ana	main	P1_C1_lg9	Earth_planet	place	no-ana
Earth_planet	place	no-ana	main	P1_C1_lg9	Milky_Way	place	no-ana
Earth_planet	place	no-ana	main	P1_C1_lg9	suns	place	no-ana
Earth_planet	place	no-ana	main	P1_C1_lg9	Chaos	metaplace	no-ana
Chaos	metaplace	no-ana	main	P1_C1_lg9	Earth_planet	place	no-ana
Chaos	metaplace	no-ana	main	P1_C1_lg9	Universe	metaplace	no-ana
Chaos	metaplace	no-ana	main	P1_C1_lg9	Chaos	metaplace	no-ana
Chaos	metaplace	no-ana	main	P1_C1_lg9	Earth_planet	place	no-ana
Chaos	metaplace	no-ana	main	P1_C1_lg9	Milky_Way	place	no-ana
Chaos	metaplace	no-ana	main	P1_C1_lg9	suns	place	no-ana
Chaos	metaplace	no-ana	main	P1_C1_lg9	Chaos	metaplace	no-ana
Universe	metaplace	no-ana	main	P1_C1_lg9	Earth_planet	place	no-ana
Universe	metaplace	no-ana	main	P1_C1_lg9	Chaos	metaplace	no-ana
Universe	metaplace	no-ana	main	P1_C1_lg9	Chaos	metaplace	no-ana
Universe	metaplace	no-ana	main	P1_C1_lg9	Earth_planet	place	no-ana
Universe	metaplace	no-ana	main	P1_C1_lg9	Milky_Way	place	no-ana
Universe	metaplace	no-ana	main	P1_C1_lg9	suns	place	no-ana
Universe	metaplace	no-ana	main	P1_C1_lg9	Chaos	metaplace	no-ana
Chaos	metaplace	no-ana	note	P1_C1_lg9	Earth_planet	place	no-ana
Chaos	metaplace	no-ana	note	P1_C1_lg9	Chaos	metaplace	no-ana
Chaos	metaplace	no-ana	note	P1_C1_lg9	Universe	metaplace	no-ana
Chaos	metaplace	no-ana	note	P1_C1_lg9	Earth_planet	place	no-ana
Chaos	metaplace	no-ana	note	P1_C1_lg9	Milky_Way	place	no-ana
Chaos	metaplace	no-ana	note	P1_C1_lg9	suns	place	no-ana
Chaos	metaplace	no-ana	note	P1_C1_lg9	Chaos	metaplace	no-ana
Earth_planet	place	no-ana	note	P1_C1_lg9	Earth_planet	place	no-ana
Earth_planet	place	no-ana	note	P1_C1_lg9	Chaos	metaplace	no-ana
Earth_planet	place	no-ana	note	P1_C1_lg9	Universe	metaplace	no-ana
Earth_planet	place	no-ana	note	P1_C1_lg9	Chaos	metaplace	no-ana
Earth_planet	place	no-ana	note	P1_C1_lg9	Earth_planet	place	no-ana
Earth_planet	place	no-ana	note	P1_C1_lg9	Milky_Way	place	no-ana
Earth_planet	place	no-ana	note	P1_C1_lg9	suns	place	no-ana
Earth_planet	place	no-ana	note	P1_C1_lg9	Chaos	metaplace	no-ana
Milky_Way	place	no-ana	note	P1_C1_lg9	Earth_planet	place	no-ana
Milky_Way	place	no-ana	note	P1_C1_lg9	Chaos	metaplace	no-ana
Milky_Way	place	no-ana	note	P1_C1_lg9	Universe	metaplace	no-ana
Milky_Way	place	no-ana	note	P1_C1_lg9	Chaos	metaplace	no-ana
Milky_Way	place	no-ana	note	P1_C1_lg9	Earth_planet	place	no-ana
Milky_Way	place	no-ana	note	P1_C1_lg9	suns	place	no-ana
Milky_Way	place	no-ana	note	P1_C1_lg9	Chaos	metaplace	no-ana
suns	place	no-ana	note	P1_C1_lg9	Earth_planet	place	no-ana
suns	place	no-ana	note	P1_C1_lg9	Chaos	metaplace	no-ana
suns	place	no-ana	note	P1_C1_lg9	Universe	metaplace	no-ana
suns	place	no-ana	note	P1_C1_lg9	Chaos	metaplace	no-ana
suns	place	no-ana	note	P1_C1_lg9	Earth_planet	place	no-ana
suns	place	no-ana	note	P1_C1_lg9	Milky_Way	place	no-ana
suns	place	no-ana	note	P1_C1_lg9	suns	place	no-ana
suns	place	no-ana	note	P1_C1_lg9	Chaos	metaplace	no-ana
Chaos	metaplace	no-ana	note	P1_C1_lg9	Earth_planet	place	no-ana
Chaos	metaplace	no-ana	note	P1_C1_lg9	Chaos	metaplace	no-ana
Chaos	metaplace	no-ana	note	P1_C1_lg9	Universe	metaplace	no-ana
Chaos	metaplace	no-ana	note	P1_C1_lg9	Chaos	metaplace	no-ana
Chaos	metaplace	no-ana	note	P1_C1_lg9	Earth_planet	place	no-ana
Chaos	metaplace	no-ana	note	P1_C1_lg9	Milky_Way	place	no-ana
Chaos	metaplace	no-ana	note	P1_C1_lg9	suns	place	no-ana
meteors	place	no-ana	main	P1_C1_lg10	meteors	place	no-ana
meteors	place	no-ana	main	P1_C1_lg10	sky	place	no-ana
meteors	place	no-ana	main	P1_C1_lg10	the_North	place	no-ana
meteors	place	no-ana	main	P1_C1_lg10	planets	place	no-ana
meteors	place	no-ana	main	P1_C1_lg10	the_Sun	place	no-ana
meteors	place	no-ana	main	P1_C1_lg10	meteors	place	no-ana
meteors	place	no-ana	main	P1_C1_lg10	atmosphere	place	no-ana
meteors	place	no-ana	main	P1_C1_lg10	poles	place	no-ana
meteors	place	no-ana	main	P1_C1_lg10	Earth_planet	place	no-ana
meteors	place	no-ana	main	P1_C1_lg10	poles	place	no-ana
meteors	place	no-ana	main	P1_C1_lg10	poles	place	no-ana
meteors	place	no-ana	main	P1_C1_lg10	England	place	no-ana
sky	place	no-ana	main	P1_C1_lg10	meteors	place	no-ana
sky	place	no-ana	main	P1_C1_lg10	sky	place	no-ana
sky	place	no-ana	main	P1_C1_lg10	the_North	place	no-ana
sky	place	no-ana	main	P1_C1_lg10	planets	place	no-ana
sky	place	no-ana	main	P1_C1_lg10	the_Sun	place	no-ana
sky	place	no-ana	main	P1_C1_lg10	meteors	place	no-ana
sky	place	no-ana	main	P1_C1_lg10	atmosphere	place	no-ana
sky	place	no-ana	main	P1_C1_lg10	poles	place	no-ana
sky	place	no-ana	main	P1_C1_lg10	Earth_planet	place	no-ana
sky	place	no-ana	main	P1_C1_lg10	poles	place	no-ana
sky	place	no-ana	main	P1_C1_lg10	poles	place	no-ana
sky	place	no-ana	main	P1_C1_lg10	England	place	no-ana
the_North	place	no-ana	main	P1_C1_lg10	meteors	place	no-ana
the_North	place	no-ana	main	P1_C1_lg10	sky	place	no-ana
the_North	place	no-ana	main	P1_C1_lg10	the_North	place	no-ana
the_North	place	no-ana	main	P1_C1_lg10	planets	place	no-ana
the_North	place	no-ana	main	P1_C1_lg10	the_Sun	place	no-ana
the_North	place	no-ana	main	P1_C1_lg10	meteors	place	no-ana
the_North	place	no-ana	main	P1_C1_lg10	atmosphere	place	no-ana
the_North	place	no-ana	main	P1_C1_lg10	poles	place	no-ana
the_North	place	no-ana	main	P1_C1_lg10	Earth_planet	place	no-ana
the_North	place	no-ana	main	P1_C1_lg10	poles	place	no-ana
the_North	place	no-ana	main	P1_C1_lg10	poles	place	no-ana
the_North	place	no-ana	main	P1_C1_lg10	England	place	no-ana
planets	place	no-ana	main	P1_C1_lg10	meteors	place	no-ana
planets	place	no-ana	main	P1_C1_lg10	sky	place	no-ana
planets	place	no-ana	main	P1_C1_lg10	the_North	place	no-ana
planets	place	no-ana	main	P1_C1_lg10	planets	place	no-ana
planets	place	no-ana	main	P1_C1_lg10	the_Sun	place	no-ana
planets	place	no-ana	main	P1_C1_lg10	meteors	place	no-ana
planets	place	no-ana	main	P1_C1_lg10	atmosphere	place	no-ana
planets	place	no-ana	main	P1_C1_lg10	poles	place	no-ana
planets	place	no-ana	main	P1_C1_lg10	Earth_planet	place	no-ana
planets	place	no-ana	main	P1_C1_lg10	poles	place	no-ana
planets	place	no-ana	main	P1_C1_lg10	poles	place	no-ana
planets	place	no-ana	main	P1_C1_lg10	England	place	no-ana
the_Sun	place	no-ana	main	P1_C1_lg10	meteors	place	no-ana
the_Sun	place	no-ana	main	P1_C1_lg10	sky	place	no-ana
the_Sun	place	no-ana	main	P1_C1_lg10	the_North	place	no-ana
the_Sun	place	no-ana	main	P1_C1_lg10	planets	place	no-ana
the_Sun	place	no-ana	main	P1_C1_lg10	the_Sun	place	no-ana
the_Sun	place	no-ana	main	P1_C1_lg10	meteors	place	no-ana
the_Sun	place	no-ana	main	P1_C1_lg10	atmosphere	place	no-ana
the_Sun	place	no-ana	main	P1_C1_lg10	poles	place	no-ana
the_Sun	place	no-ana	main	P1_C1_lg10	Earth_planet	place	no-ana
the_Sun	place	no-ana	main	P1_C1_lg10	poles	place	no-ana
the_Sun	place	no-ana	main	P1_C1_lg10	poles	place	no-ana
the_Sun	place	no-ana	main	P1_C1_lg10	England	place	no-ana
meteors	place	no-ana	note	P1_C1_lg10	meteors	place	no-ana
meteors	place	no-ana	note	P1_C1_lg10	sky	place	no-ana
meteors	place	no-ana	note	P1_C1_lg10	the_North	place	no-ana
meteors	place	no-ana	note	P1_C1_lg10	planets	place	no-ana
meteors	place	no-ana	note	P1_C1_lg10	the_Sun	place	no-ana
meteors	place	no-ana	note	P1_C1_lg10	meteors	place	no-ana
meteors	place	no-ana	note	P1_C1_lg10	atmosphere	place	no-ana
meteors	place	no-ana	note	P1_C1_lg10	poles	place	no-ana
meteors	place	no-ana	note	P1_C1_lg10	Earth_planet	place	no-ana
meteors	place	no-ana	note	P1_C1_lg10	poles	place	no-ana
meteors	place	no-ana	note	P1_C1_lg10	poles	place	no-ana
meteors	place	no-ana	note	P1_C1_lg10	England	place	no-ana
